Nome do Produto,Categoria do Produto,Preço do Produto (R$),Filial,Quantidade em Estoque,Data da Venda
Delineador líquido,Eletrônicos,75.93,Filial 1,39,Indisponível
Lápis de sobrancelha,Eletrônicos,97.32,Filial 10,74,Indisponível
Pó compacto,Eletrodomésticos,26.08,Filial 4,25,Indisponível
Delineador líquido,Alimentos,84.83,Filial 4,88,Indisponível
Delineador líquido,Alimentos,29.56,Filial 5,62,Indisponível
Máscara de cílios,Eletrônicos,69.03,Filial 5,30,Indisponível
Lápis de sobrancelha,Eletrodomésticos,69.55,Filial 1,3,Indisponível
Sombra de olhos,Eletrônicos,42.89,Filial 6,67,Indisponível
Corretivo,Eletrônicos,13.18,Filial 3,67,Indisponível
Sombra de olhos,Eletrônicos,71.6,Filial 4,24,Indisponível
Corretivo,Eletrodomésticos,54.92,Filial 10,50,Indisponível
Lápis de sobrancelha,Eletrodomésticos,66.37,Filial 10,13,Indisponível
Batom líquido,Eletrônicos,48.64,Filial 7,60,Indisponível
Blush em pó,Eletrodomésticos,3.34,Filial 9,84,Indisponível
Blush em pó,Eletrônicos,41.44,Filial 1,2,Indisponível
Máscara de cílios,Alimentos,80.05,Filial 7,81,Indisponível
Corretivo,Roupas,5.85,Filial 8,34,Indisponível
Lápis de sobrancelha,Eletrodomésticos,74.41,Filial 6,29,Indisponível
Batom matte,Alimentos,16.82,Filial 6,61,Indisponível
Batom matte,Eletrodomésticos,75.16,Filial 10,51,Indisponível
Corretivo,Eletrodomésticos,82.46,Filial 1,36,Indisponível
Blush em pó,Roupas,17.11,Filial 3,74,Indisponível
Base líquida,Roupas,52.85,Filial 9,55,Indisponível
Delineador líquido,Eletrônicos,21.95,Filial 3,2,Indisponível
Máscara de cílios,Alimentos,77.94,Filial 2,57,Indisponível
Máscara de cílios,Alimentos,74.08,Filial 2,84,Indisponível
Lápis de sobrancelha,Eletrodomésticos,30.88,Filial 10,89,Indisponível
Lápis de sobrancelha,Alimentos,56.83,Filial 5,17,Indisponível
Lápis de sobrancelha,Alimentos,28.48,Filial 8,98,Indisponível
Delineador líquido,Eletrônicos,32.08,Filial 4,55,Indisponível
Base líquida,Roupas,53.35,Filial 2,20,Indisponível
Delineador líquido,Alimentos,12.87,Filial 9,64,Indisponível
Lápis de sobrancelha,Alimentos,91.79,Filial 2,49,Indisponível
Batom líquido,Roupas,32.46,Filial 8,70,Indisponível
Pó compacto,Alimentos,10.31,Filial 10,81,Indisponível
Batom matte,Roupas,57.86,Filial 9,50,Indisponível
Corretivo,Roupas,42.34,Filial 10,23,Indisponível
Base líquida,Eletrodomésticos,80.15,Filial 10,73,Indisponível
Sombra de olhos,Eletrônicos,97.17,Filial 6,74,Indisponível
Sombra de olhos,Alimentos,19.25,Filial 3,83,Indisponível
Delineador líquido,Eletrodomésticos,59.79,Filial 9,73,Indisponível
Pó compacto,Eletrônicos,21.38,Filial 4,72,Indisponível
Blush em pó,Eletrodomésticos,37.03,Filial 3,81,Indisponível
Base líquida,Alimentos,64.19,Filial 10,6,Indisponível
Blush em pó,Roupas,56.95,Filial 10,74,Indisponível
Corretivo,Eletrônicos,80.93,Filial 7,75,Indisponível
Pó compacto,Alimentos,83.98,Filial 2,65,Indisponível
Lápis de sobrancelha,Roupas,60.52,Filial 5,5,Indisponível
Pó compacto,Eletrônicos,97.87,Filial 9,53,Indisponível
Base líquida,Roupas,20.69,Filial 6,94,Indisponível
Batom matte,Eletrodomésticos,46.28,Filial 3,63,Indisponível
Blush em pó,Roupas,21.04,Filial 8,23,Indisponível
Delineador líquido,Roupas,44.34,Filial 6,67,Indisponível
Lápis de sobrancelha,Roupas,67.04,Filial 1,23,Indisponível
Lápis de sobrancelha,Eletrodomésticos,14.3,Filial 9,8,Indisponível
Pó compacto,Eletrônicos,7.96,Filial 7,52,Indisponível
Blush em pó,Roupas,89.7,Filial 8,84,Indisponível
Batom líquido,Roupas,40.85,Filial 8,50,Indisponível
Batom matte,Eletrônicos,38.67,Filial 10,69,Indisponível
Pó compacto,Alimentos,25.73,Filial 2,62,Indisponível
Base líquida,Roupas,63.5,Filial 7,78,Indisponível
Pó compacto,Roupas,90.18,Filial 10,56,Indisponível
Corretivo,Eletrodomésticos,46.38,Filial 10,24,Indisponível
Máscara de cílios,Eletrônicos,57.55,Filial 5,2,Indisponível
Batom líquido,Eletrodomésticos,51.17,Filial 5,60,Indisponível
Batom líquido,Roupas,66.77,Filial 4,91,Indisponível
Sombra de olhos,Eletrodomésticos,19.98,Filial 9,47,Indisponível
Blush em pó,Eletrodomésticos,13.23,Filial 1,87,Indisponível
Máscara de cílios,Roupas,90.06,Filial 5,49,Indisponível
Blush em pó,Alimentos,5.12,Filial 2,2,Indisponível
Pó compacto,Alimentos,4.15,Filial 4,77,Indisponível
Batom matte,Roupas,63.64,Filial 9,73,Indisponível
Base líquida,Eletrônicos,36.43,Filial 9,64,Indisponível
Batom matte,Eletrodomésticos,34.69,Filial 7,1,Indisponível
Pó compacto,Alimentos,26.39,Filial 7,54,Indisponível
Lápis de sobrancelha,Alimentos,49.52,Filial 2,93,Indisponível
Base líquida,Alimentos,13.11,Filial 6,42,Indisponível
Sombra de olhos,Alimentos,23.43,Filial 4,91,Indisponível
Batom matte,Eletrônicos,25.8,Filial 9,24,Indisponível
Batom líquido,Roupas,83.23,Filial 5,65,Indisponível
Delineador líquido,Alimentos,66.5,Filial 3,17,Indisponível
Base líquida,Alimentos,82.56,Filial 10,85,Indisponível
Máscara de cílios,Eletrônicos,6.81,Filial 5,51,Indisponível
Pó compacto,Roupas,20.04,Filial 6,62,Indisponível
Blush em pó,Eletrodomésticos,94.79,Filial 10,37,Indisponível
Sombra de olhos,Alimentos,64.47,Filial 4,85,Indisponível
Lápis de sobrancelha,Eletrodomésticos,39.25,Filial 1,17,Indisponível
Corretivo,Eletrônicos,79.51,Filial 7,36,Indisponível
Base líquida,Eletrônicos,17.29,Filial 7,73,Indisponível
Delineador líquido,Alimentos,26.04,Filial 6,82,Indisponível
Lápis de sobrancelha,Eletrônicos,47.93,Filial 10,55,Indisponível
Batom matte,Eletrodomésticos,68.86,Filial 8,79,Indisponível
Blush em pó,Alimentos,19.68,Filial 2,40,Indisponível
Base líquida,Eletrodomésticos,6.59,Filial 5,69,Indisponível
Corretivo,Roupas,38.96,Filial 2,54,Indisponível
Sombra de olhos,Roupas,6.41,Filial 4,75,Indisponível
Máscara de cílios,Eletrônicos,36.43,Filial 8,100,Indisponível
Sombra de olhos,Eletrônicos,13.17,Filial 7,25,Indisponível
Corretivo,Roupas,20.19,Filial 10,65,Indisponível
Batom líquido,Roupas,78.18,Filial 4,86,Indisponível
Base líquida,Roupas,53.04,Filial 3,18,Indisponível
Máscara de cílios,Eletrônicos,43.27,Filial 5,9,Indisponível
Blush em pó,Eletrodomésticos,9.16,Filial 2,39,Indisponível
Corretivo,Eletrônicos,15.12,Filial 8,59,Indisponível
Máscara de cílios,Eletrônicos,52.08,Filial 3,42,Indisponível
Delineador líquido,Eletrônicos,47.07,Filial 3,75,Indisponível
Lápis de sobrancelha,Eletrodomésticos,79.44,Filial 1,56,Indisponível
Lápis de sobrancelha,Roupas,6.88,Filial 5,62,Indisponível
Máscara de cílios,Eletrodomésticos,79.54,Filial 10,82,Indisponível
Base líquida,Alimentos,32.25,Filial 1,30,Indisponível
Máscara de cílios,Alimentos,7.95,Filial 1,3,Indisponível
Sombra de olhos,Roupas,56.82,Filial 7,40,Indisponível
Corretivo,Eletrônicos,50.21,Filial 6,46,Indisponível
Blush em pó,Eletrodomésticos,42.61,Filial 8,4,Indisponível
Batom matte,Eletrônicos,35.14,Filial 2,18,Indisponível
Pó compacto,Alimentos,34.58,Filial 4,60,Indisponível
Lápis de sobrancelha,Roupas,13.41,Filial 6,40,Indisponível
Sombra de olhos,Alimentos,95.82,Filial 8,98,Indisponível
Base líquida,Eletrodomésticos,18.22,Filial 2,66,Indisponível
Batom matte,Eletrônicos,65.93,Filial 5,25,Indisponível
Batom líquido,Alimentos,90.86,Filial 3,56,Indisponível
Delineador líquido,Alimentos,35.42,Filial 8,100,Indisponível
Máscara de cílios,Roupas,9.48,Filial 1,65,Indisponível
Máscara de cílios,Alimentos,75.95,Filial 6,19,Indisponível
Lápis de sobrancelha,Eletrodomésticos,36.32,Filial 1,40,Indisponível
Base líquida,Eletrônicos,61.91,Filial 8,13,Indisponível
Sombra de olhos,Eletrodomésticos,49.19,Filial 7,17,Indisponível
Blush em pó,Alimentos,96.51,Filial 1,30,Indisponível
Base líquida,Roupas,97.32,Filial 1,60,Indisponível
Blush em pó,Roupas,10.18,Filial 7,63,Indisponível
Lápis de sobrancelha,Alimentos,38.56,Filial 5,44,Indisponível
Batom matte,Eletrodomésticos,32.38,Filial 2,22,Indisponível
Delineador líquido,Eletrodomésticos,68.61,Filial 3,50,Indisponível
Batom matte,Eletrodomésticos,54.35,Filial 1,41,Indisponível
Base líquida,Eletrônicos,76.32,Filial 10,94,Indisponível
Corretivo,Alimentos,20.19,Filial 1,19,Indisponível
Sombra de olhos,Eletrodomésticos,44.74,Filial 1,97,Indisponível
Blush em pó,Roupas,29.14,Filial 3,31,Indisponível
Delineador líquido,Eletrodomésticos,86.69,Filial 1,40,Indisponível
Batom matte,Roupas,93.73,Filial 8,75,Indisponível
Lápis de sobrancelha,Roupas,48.51,Filial 3,18,Indisponível
Sombra de olhos,Eletrodomésticos,83.1,Filial 8,73,Indisponível
Base líquida,Roupas,6.64,Filial 10,89,Indisponível
Lápis de sobrancelha,Alimentos,71.78,Filial 9,92,Indisponível
Batom líquido,Eletrodomésticos,54.07,Filial 10,93,Indisponível
Delineador líquido,Roupas,8.43,Filial 8,47,Indisponível
Pó compacto,Eletrodomésticos,53.2,Filial 8,77,Indisponível
Blush em pó,Roupas,25.23,Filial 9,84,Indisponível
Delineador líquido,Alimentos,86.28,Filial 10,47,Indisponível
Blush em pó,Eletrônicos,48.8,Filial 4,3,Indisponível
Corretivo,Eletrodomésticos,95.9,Filial 2,24,Indisponível
Blush em pó,Eletrônicos,15.08,Filial 3,90,Indisponível
Corretivo,Roupas,78.02,Filial 3,38,Indisponível
Máscara de cílios,Roupas,1.03,Filial 7,65,Indisponível
Base líquida,Eletrônicos,22.4,Filial 7,28,Indisponível
Delineador líquido,Roupas,14.18,Filial 2,94,Indisponível
Pó compacto,Roupas,22.41,Filial 7,41,Indisponível
Corretivo,Roupas,34.14,Filial 10,47,Indisponível
Pó compacto,Alimentos,52.21,Filial 8,66,Indisponível
Máscara de cílios,Roupas,83.15,Filial 10,39,Indisponível
Blush em pó,Roupas,64.02,Filial 3,60,Indisponível
Delineador líquido,Roupas,62.97,Filial 2,82,Indisponível
Máscara de cílios,Roupas,57.62,Filial 6,82,Indisponível
Pó compacto,Alimentos,58.2,Filial 3,18,Indisponível
Lápis de sobrancelha,Alimentos,50.74,Filial 9,75,Indisponível
Sombra de olhos,Roupas,87.36,Filial 3,22,Indisponível
Blush em pó,Eletrônicos,7.62,Filial 8,19,Indisponível
Máscara de cílios,Eletrônicos,88.87,Filial 4,65,Indisponível
Corretivo,Alimentos,41.45,Filial 9,32,Indisponível
Blush em pó,Alimentos,16.36,Filial 6,6,Indisponível
Batom matte,Alimentos,7.58,Filial 2,97,Indisponível
Batom líquido,Alimentos,43.68,Filial 6,77,Indisponível
Sombra de olhos,Eletrodomésticos,49.21,Filial 10,56,Indisponível
Corretivo,Roupas,52.52,Filial 9,92,Indisponível
Batom líquido,Eletrodomésticos,84.34,Filial 2,96,Indisponível
Sombra de olhos,Alimentos,23.46,Filial 8,44,Indisponível
Base líquida,Eletrodomésticos,25.65,Filial 4,49,Indisponível
Batom matte,Eletrodomésticos,59.09,Filial 5,56,Indisponível
Batom líquido,Eletrônicos,72.79,Filial 1,79,Indisponível
Blush em pó,Alimentos,41.36,Filial 6,4,Indisponível
Delineador líquido,Roupas,44.86,Filial 7,41,Indisponível
Sombra de olhos,Roupas,68.02,Filial 9,48,Indisponível
Lápis de sobrancelha,Eletrônicos,67.85,Filial 2,85,Indisponível
Delineador líquido,Roupas,68.63,Filial 10,28,Indisponível
Delineador líquido,Eletrônicos,60.93,Filial 6,52,Indisponível
Delineador líquido,Roupas,9.28,Filial 1,40,Indisponível
Blush em pó,Eletrônicos,4.11,Filial 8,50,Indisponível
Batom líquido,Eletrodomésticos,28.2,Filial 4,13,Indisponível
Lápis de sobrancelha,Alimentos,56.7,Filial 8,19,Indisponível
Batom matte,Alimentos,24.67,Filial 6,6,Indisponível
Delineador líquido,Eletrônicos,63.19,Filial 9,26,Indisponível
Sombra de olhos,Alimentos,50.51,Filial 2,79,Indisponível
Blush em pó,Roupas,74.39,Filial 7,2,Indisponível
Batom matte,Roupas,29.8,Filial 9,52,Indisponível
Batom matte,Alimentos,42.88,Filial 1,92,Indisponível
Lápis de sobrancelha,Eletrodomésticos,27.61,Filial 10,85,Indisponível
Sombra de olhos,Eletrônicos,67.28,Filial 8,10,Indisponível
Lápis de sobrancelha,Roupas,61.02,Filial 5,88,Indisponível
Pó compacto,Eletrodomésticos,36.12,Filial 9,94,Indisponível
Lápis de sobrancelha,Alimentos,86.62,Filial 1,71,Indisponível
Batom matte,Eletrônicos,75.74,Filial 2,4,Indisponível
Corretivo,Roupas,31.61,Filial 4,16,Indisponível
Corretivo,Alimentos,21.64,Filial 1,84,Indisponível
Delineador líquido,Eletrônicos,70.46,Filial 10,32,Indisponível
Lápis de sobrancelha,Alimentos,74.94,Filial 1,99,Indisponível
Pó compacto,Roupas,84.56,Filial 8,13,Indisponível
Pó compacto,Roupas,75.04,Filial 3,5,Indisponível
Corretivo,Roupas,64.5,Filial 6,22,Indisponível
Corretivo,Eletrodomésticos,26.92,Filial 6,20,Indisponível
Pó compacto,Alimentos,15.55,Filial 6,33,Indisponível
Lápis de sobrancelha,Roupas,79.32,Filial 8,30,Indisponível
Pó compacto,Alimentos,19.41,Filial 1,29,Indisponível
Batom matte,Eletrodomésticos,42.6,Filial 2,82,Indisponível
Batom matte,Alimentos,47.36,Filial 9,7,Indisponível
Base líquida,Alimentos,95.32,Filial 8,46,Indisponível
Lápis de sobrancelha,Eletrônicos,58.92,Filial 4,53,Indisponível
Blush em pó,Alimentos,20.96,Filial 10,54,Indisponível
Lápis de sobrancelha,Eletrônicos,56.19,Filial 8,3,Indisponível
Lápis de sobrancelha,Eletrodomésticos,82.93,Filial 7,45,Indisponível
Máscara de cílios,Eletrodomésticos,55.48,Filial 3,100,Indisponível
Batom líquido,Roupas,82.32,Filial 5,87,Indisponível
Lápis de sobrancelha,Roupas,12.41,Filial 5,50,Indisponível
Corretivo,Eletrodomésticos,43.73,Filial 1,81,Indisponível
Base líquida,Roupas,56.22,Filial 7,94,Indisponível
Blush em pó,Eletrodomésticos,8.65,Filial 3,42,Indisponível
Máscara de cílios,Roupas,77.25,Filial 10,86,Indisponível
Base líquida,Eletrônicos,21.78,Filial 9,86,Indisponível
Corretivo,Roupas,60.92,Filial 1,99,Indisponível
Delineador líquido,Alimentos,99.05,Filial 6,32,Indisponível
Base líquida,Eletrodomésticos,92.03,Filial 4,32,Indisponível
Delineador líquido,Eletrônicos,81.42,Filial 10,80,Indisponível
Lápis de sobrancelha,Eletrodomésticos,21.67,Filial 6,37,Indisponível
Máscara de cílios,Eletrodomésticos,26.61,Filial 10,7,Indisponível
Corretivo,Eletrônicos,47.57,Filial 3,25,Indisponível
Batom matte,Eletrodomésticos,60.31,Filial 6,5,Indisponível
Blush em pó,Eletrônicos,97.53,Filial 7,100,Indisponível
Blush em pó,Eletrodomésticos,41.76,Filial 7,99,Indisponível
Máscara de cílios,Eletrônicos,20.74,Filial 5,70,Indisponível
Máscara de cílios,Eletrônicos,84.84,Filial 9,4,Indisponível
Batom matte,Alimentos,37.32,Filial 10,81,Indisponível
Delineador líquido,Eletrônicos,57.3,Filial 8,36,Indisponível
Delineador líquido,Eletrônicos,24.43,Filial 4,77,Indisponível
Sombra de olhos,Eletrônicos,18.84,Filial 6,25,Indisponível
Batom líquido,Eletrodomésticos,23.15,Filial 5,60,Indisponível
Sombra de olhos,Eletrônicos,38.02,Filial 6,78,Indisponível
Corretivo,Alimentos,15.5,Filial 4,8,Indisponível
Lápis de sobrancelha,Eletrodomésticos,64.19,Filial 7,86,Indisponível
Corretivo,Eletrodomésticos,73.74,Filial 1,27,Indisponível
Máscara de cílios,Roupas,56.66,Filial 4,63,Indisponível
Batom líquido,Eletrodomésticos,79.75,Filial 1,92,Indisponível
Base líquida,Eletrônicos,49.13,Filial 1,95,Indisponível
Blush em pó,Eletrônicos,55.96,Filial 1,48,Indisponível
Delineador líquido,Alimentos,41.01,Filial 9,48,Indisponível
Pó compacto,Eletrônicos,21.23,Filial 9,62,Indisponível
Batom matte,Roupas,88.26,Filial 10,81,Indisponível
Base líquida,Roupas,92.53,Filial 3,85,Indisponível
Batom líquido,Eletrodomésticos,42.16,Filial 4,68,Indisponível
Pó compacto,Alimentos,19.27,Filial 1,6,Indisponível
Delineador líquido,Eletrônicos,32.72,Filial 9,98,Indisponível
Máscara de cílios,Roupas,41.06,Filial 8,82,Indisponível
Corretivo,Roupas,62.64,Filial 8,97,Indisponível
Batom matte,Roupas,86.17,Filial 9,75,Indisponível
Corretivo,Roupas,16.22,Filial 9,99,Indisponível
Máscara de cílios,Alimentos,30.31,Filial 2,29,Indisponível
Base líquida,Alimentos,79.59,Filial 10,30,Indisponível
Máscara de cílios,Alimentos,26.36,Filial 10,20,Indisponível
Blush em pó,Alimentos,47.68,Filial 1,79,Indisponível
Pó compacto,Eletrodomésticos,11.95,Filial 2,9,Indisponível
Delineador líquido,Alimentos,86.15,Filial 2,16,Indisponível
Pó compacto,Eletrônicos,43.97,Filial 5,43,Indisponível
Lápis de sobrancelha,Roupas,65.26,Filial 7,79,Indisponível
Base líquida,Roupas,99.74,Filial 10,42,Indisponível
Batom líquido,Eletrodomésticos,86.33,Filial 6,36,Indisponível
Corretivo,Alimentos,25.76,Filial 1,97,Indisponível
Lápis de sobrancelha,Roupas,70.35,Filial 9,21,Indisponível
Batom líquido,Eletrônicos,81.25,Filial 2,40,Indisponível
Batom líquido,Eletrônicos,77.41,Filial 3,81,Indisponível
Corretivo,Roupas,13.18,Filial 6,54,Indisponível
Lápis de sobrancelha,Alimentos,21.93,Filial 8,30,Indisponível
Máscara de cílios,Roupas,23.57,Filial 3,13,Indisponível
Batom líquido,Roupas,70.31,Filial 8,88,Indisponível
Base líquida,Eletrodomésticos,9.41,Filial 6,94,Indisponível
Máscara de cílios,Eletrodomésticos,32.09,Filial 2,78,Indisponível
Batom matte,Roupas,24.61,Filial 6,81,Indisponível
Base líquida,Eletrodomésticos,86.68,Filial 8,85,Indisponível
Base líquida,Alimentos,4.47,Filial 1,2,Indisponível
Pó compacto,Eletrodomésticos,73.72,Filial 5,49,Indisponível
Batom matte,Alimentos,64.62,Filial 5,96,Indisponível
Blush em pó,Roupas,34.93,Filial 8,54,Indisponível
Batom matte,Roupas,78.29,Filial 8,88,Indisponível
Corretivo,Eletrodomésticos,67.08,Filial 10,44,Indisponível
Batom líquido,Roupas,98.47,Filial 6,89,Indisponível
Blush em pó,Eletrodomésticos,39.86,Filial 10,36,Indisponível
Máscara de cílios,Roupas,65.23,Filial 8,52,Indisponível
Pó compacto,Eletrônicos,50.8,Filial 10,77,Indisponível
Blush em pó,Eletrodomésticos,16.77,Filial 5,16,Indisponível
Base líquida,Roupas,16.7,Filial 7,26,Indisponível
Lápis de sobrancelha,Alimentos,15.19,Filial 10,30,Indisponível
Blush em pó,Eletrodomésticos,37.35,Filial 10,36,Indisponível
Pó compacto,Eletrodomésticos,12.8,Filial 8,11,Indisponível
Lápis de sobrancelha,Eletrodomésticos,51.72,Filial 6,65,Indisponível
Batom matte,Eletrodomésticos,72.4,Filial 8,96,Indisponível
Batom líquido,Alimentos,46.31,Filial 4,38,Indisponível
Lápis de sobrancelha,Alimentos,38.02,Filial 6,57,Indisponível
Máscara de cílios,Eletrônicos,52.19,Filial 9,23,Indisponível
Pó compacto,Eletrodomésticos,50.78,Filial 10,31,Indisponível
Batom matte,Alimentos,45.85,Filial 9,96,Indisponível
Sombra de olhos,Roupas,36.64,Filial 2,31,Indisponível
Corretivo,Eletrodomésticos,24.35,Filial 10,65,Indisponível
Delineador líquido,Eletrodomésticos,12.44,Filial 1,5,Indisponível
Base líquida,Eletrônicos,10.22,Filial 8,10,Indisponível
Blush em pó,Eletrônicos,13.55,Filial 6,31,Indisponível
Delineador líquido,Eletrônicos,58.02,Filial 6,42,Indisponível
Blush em pó,Eletrodomésticos,20.01,Filial 5,81,Indisponível
Pó compacto,Eletrodomésticos,55.72,Filial 1,82,Indisponível
Corretivo,Roupas,89.06,Filial 6,27,Indisponível
Máscara de cílios,Eletrodomésticos,9.1,Filial 7,12,Indisponível
Corretivo,Alimentos,3.03,Filial 1,91,Indisponível
Batom líquido,Alimentos,2.69,Filial 3,45,Indisponível
Sombra de olhos,Alimentos,33.25,Filial 5,40,Indisponível
Delineador líquido,Eletrônicos,44.73,Filial 5,28,Indisponível
Sombra de olhos,Eletrônicos,56.58,Filial 5,22,Indisponível
Blush em pó,Eletrônicos,39.78,Filial 5,23,Indisponível
Pó compacto,Eletrodomésticos,75.83,Filial 4,98,Indisponível
Lápis de sobrancelha,Roupas,76.69,Filial 9,16,Indisponível
Corretivo,Roupas,49.96,Filial 4,92,Indisponível
Base líquida,Eletrônicos,82.83,Filial 7,72,Indisponível
Pó compacto,Roupas,26.14,Filial 10,50,Indisponível
Blush em pó,Eletrodomésticos,2.25,Filial 1,19,Indisponível
Pó compacto,Eletrônicos,31.53,Filial 7,33,Indisponível
Delineador líquido,Eletrônicos,15.48,Filial 1,88,Indisponível
Delineador líquido,Roupas,92.41,Filial 8,56,Indisponível
Sombra de olhos,Eletrônicos,1.17,Filial 1,82,Indisponível
Lápis de sobrancelha,Eletrodomésticos,24.95,Filial 7,32,Indisponível
Pó compacto,Eletrodomésticos,11.82,Filial 3,93,Indisponível
Batom matte,Roupas,67.68,Filial 4,54,Indisponível
Batom matte,Eletrodomésticos,84.38,Filial 9,91,Indisponível
Delineador líquido,Roupas,84.01,Filial 10,42,Indisponível
Máscara de cílios,Eletrônicos,23.99,Filial 8,60,Indisponível
Máscara de cílios,Eletrônicos,79.99,Filial 1,50,Indisponível
Sombra de olhos,Alimentos,1.87,Filial 2,35,Indisponível
Sombra de olhos,Alimentos,93.98,Filial 10,73,Indisponível
Base líquida,Eletrônicos,13.97,Filial 2,34,Indisponível
Blush em pó,Eletrodomésticos,26.58,Filial 10,37,Indisponível
Máscara de cílios,Eletrônicos,31.2,Filial 6,86,Indisponível
Lápis de sobrancelha,Eletrodomésticos,37.76,Filial 9,1,Indisponível
Pó compacto,Eletrônicos,35.2,Filial 10,44,Indisponível
Lápis de sobrancelha,Alimentos,48.23,Filial 10,10,Indisponível
Corretivo,Roupas,12.12,Filial 8,83,Indisponível
Lápis de sobrancelha,Eletrodomésticos,17.39,Filial 4,41,Indisponível
Batom matte,Eletrodomésticos,36.03,Filial 1,30,Indisponível
Sombra de olhos,Eletrodomésticos,16.8,Filial 6,30,Indisponível
Delineador líquido,Eletrônicos,6.2,Filial 9,59,Indisponível
Delineador líquido,Eletrônicos,55.84,Filial 7,82,Indisponível
Sombra de olhos,Eletrônicos,80.73,Filial 5,36,Indisponível
Delineador líquido,Alimentos,87.59,Filial 8,5,Indisponível
Delineador líquido,Eletrodomésticos,45.93,Filial 4,10,Indisponível
Pó compacto,Roupas,95.1,Filial 2,16,Indisponível
Blush em pó,Alimentos,1.96,Filial 7,35,Indisponível
Batom matte,Eletrônicos,44.13,Filial 8,74,Indisponível
Máscara de cílios,Eletrônicos,85.1,Filial 1,15,Indisponível
Sombra de olhos,Eletrônicos,21.36,Filial 7,97,Indisponível
Lápis de sobrancelha,Alimentos,34.58,Filial 1,96,Indisponível
Sombra de olhos,Alimentos,25.38,Filial 10,28,Indisponível
Máscara de cílios,Eletrodomésticos,54.71,Filial 9,62,Indisponível
Pó compacto,Roupas,89.49,Filial 7,21,Indisponível
Base líquida,Eletrônicos,62.55,Filial 8,70,Indisponível
Pó compacto,Roupas,92.42,Filial 7,84,Indisponível
Pó compacto,Alimentos,76.69,Filial 3,75,Indisponível
Batom matte,Roupas,39.12,Filial 1,85,Indisponível
Pó compacto,Eletrônicos,76.88,Filial 4,14,Indisponível
Corretivo,Eletrodomésticos,1.32,Filial 4,54,Indisponível
Lápis de sobrancelha,Alimentos,61.88,Filial 3,63,Indisponível
Sombra de olhos,Eletrônicos,15.24,Filial 3,38,Indisponível
Sombra de olhos,Alimentos,72.21,Filial 4,13,Indisponível
Máscara de cílios,Eletrodomésticos,79.39,Filial 3,94,Indisponível
Sombra de olhos,Alimentos,23.86,Filial 9,2,Indisponível
Máscara de cílios,Alimentos,58.17,Filial 8,57,Indisponível
Máscara de cílios,Eletrodomésticos,25.51,Filial 2,92,Indisponível
Sombra de olhos,Eletrônicos,63.73,Filial 5,49,Indisponível
Pó compacto,Alimentos,83.26,Filial 2,12,Indisponível
Lápis de sobrancelha,Roupas,10.83,Filial 10,45,Indisponível
Sombra de olhos,Roupas,29.4,Filial 4,79,Indisponível
Máscara de cílios,Eletrônicos,80.58,Filial 10,30,Indisponível
Pó compacto,Alimentos,90.83,Filial 1,21,Indisponível
Blush em pó,Eletrônicos,72.82,Filial 10,1,Indisponível
Máscara de cílios,Eletrodomésticos,28.73,Filial 5,95,Indisponível
Base líquida,Alimentos,42.72,Filial 9,76,Indisponível
Corretivo,Alimentos,20.61,Filial 7,79,Indisponível
Batom líquido,Eletrônicos,82.75,Filial 9,9,Indisponível
Lápis de sobrancelha,Alimentos,98.12,Filial 4,22,Indisponível
Corretivo,Eletrônicos,89.4,Filial 1,28,Indisponível
Batom matte,Eletrônicos,11.91,Filial 1,39,Indisponível
Batom matte,Roupas,37.84,Filial 5,96,Indisponível
Pó compacto,Alimentos,98.15,Filial 8,24,Indisponível
Corretivo,Eletrônicos,93.78,Filial 7,34,Indisponível
Sombra de olhos,Eletrônicos,29.26,Filial 7,35,Indisponível
Base líquida,Eletrodomésticos,2.01,Filial 9,3,Indisponível
Base líquida,Roupas,20.27,Filial 2,82,Indisponível
Pó compacto,Eletrodomésticos,26.38,Filial 5,21,Indisponível
Corretivo,Eletrodomésticos,46.23,Filial 5,34,Indisponível
Batom matte,Eletrodomésticos,54.51,Filial 7,33,Indisponível
Pó compacto,Eletrodomésticos,54.52,Filial 1,80,Indisponível
Batom matte,Roupas,42.13,Filial 8,6,Indisponível
Corretivo,Roupas,10.38,Filial 4,43,Indisponível
Delineador líquido,Alimentos,96.99,Filial 3,74,Indisponível
Lápis de sobrancelha,Eletrônicos,56.39,Filial 4,4,Indisponível
Máscara de cílios,Roupas,5.89,Filial 4,9,Indisponível
Base líquida,Alimentos,47.9,Filial 5,53,Indisponível
Base líquida,Roupas,11.0,Filial 2,61,Indisponível
Pó compacto,Roupas,75.61,Filial 4,10,Indisponível
Sombra de olhos,Eletrodomésticos,16.8,Filial 5,52,Indisponível
Máscara de cílios,Eletrônicos,71.71,Filial 9,46,Indisponível
Delineador líquido,Eletrodomésticos,60.61,Filial 6,68,Indisponível
Batom líquido,Alimentos,80.99,Filial 10,30,Indisponível
Corretivo,Eletrônicos,27.73,Filial 9,32,Indisponível
Base líquida,Eletrônicos,19.78,Filial 10,70,Indisponível
Base líquida,Alimentos,89.15,Filial 2,90,Indisponível
Lápis de sobrancelha,Eletrônicos,59.21,Filial 3,86,Indisponível
Pó compacto,Roupas,49.77,Filial 9,70,Indisponível
Sombra de olhos,Eletrônicos,89.08,Filial 3,56,Indisponível
Lápis de sobrancelha,Alimentos,95.1,Filial 6,73,Indisponível
